age,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,Label
73,no,yes,yes,yes,yes,1,0,2620,True
84,yes,yes,no,yes,yes,1,0,2092,True
98,yes,yes,yes,yes,yes,1,0,1664,True
78,yes,yes,yes,no,yes,1,0,1945,True
68,yes,yes,yes,no,yes,1,0,1451,True
84,yes,yes,yes,no,yes,1,0,1126,True
82,yes,yes,yes,yes,yes,1,0,92,True
100,yes,yes,yes,yes,yes,1,0,2052,True
100,yes,yes,yes,yes,yes,1,0,718,True
85,yes,yes,yes,yes,yes,1,0,2049,True
85,no,yes,yes,yes,yes,1,0,341,True
87,yes,yes,yes,yes,no,1,0,2404,True
96,yes,yes,yes,no,yes,1,0,1261,True
84,yes,yes,yes,no,yes,1,0,1782,True
77,no,yes,yes,yes,yes,1,0,2504,True
94,yes,no,yes,yes,yes,1,0,272,True
74,yes,yes,yes,yes,yes,1,0,1302,True
96,yes,yes,yes,yes,yes,1,0,1636,True
79,yes,yes,yes,yes,yes,1,0,590,True
80,yes,yes,yes,yes,yes,1,0,1469,True
88,yes,yes,no,yes,yes,1,0,1831,True
60,yes,yes,yes,yes,yes,1,0,1379,True
80,yes,yes,no,yes,yes,1,0,2676,True
91,yes,no,yes,yes,yes,1,0,2794,True
77,no,yes,yes,yes,yes,1,0,2694,True
73,no,yes,yes,yes,yes,1,0,2913,True
80,yes,no,yes,yes,yes,1,0,2235,True
79,yes,yes,yes,yes,yes,1,0,1311,True
64,yes,yes,no,yes,yes,1,0,8,True
73,yes,yes,yes,yes,yes,1,0,2074,True
72,no,yes,yes,yes,yes,1,0,2375,True
82,yes,yes,yes,yes,yes,1,0,1516,True
70,yes,yes,yes,yes,yes,1,0,2430,True
73,yes,yes,yes,yes,no,1,0,202,True
91,yes,yes,yes,yes,yes,1,0,1663,True
90,yes,yes,no,yes,yes,1,0,1107,True
98,yes,yes,no,yes,yes,1,0,252,True
74,yes,yes,no,yes,yes,1,0,532,True
93,yes,yes,yes,yes,yes,1,0,977,True
85,yes,yes,yes,yes,yes,1,0,2116,True
75,yes,yes,yes,yes,yes,1,0,735,True
83,yes,yes,yes,yes,yes,1,0,1772,True
76,yes,yes,yes,no,yes,1,0,1083,True
100,yes,yes,yes,yes,no,1,0,409,True
74,yes,yes,no,yes,yes,1,0,2026,True
68,yes,yes,yes,yes,yes,1,0,482,True
61,yes,yes,yes,yes,yes,1,0,1424,True
91,yes,yes,yes,yes,yes,1,0,295,True
96,yes,yes,yes,yes,yes,1,0,1080,True
66,yes,yes,yes,yes,yes,1,0,2703,True
81,no,yes,yes,yes,yes,1,0,2454,True
96,no,yes,yes,yes,yes,1,0,2204,True
74,yes,yes,yes,yes,yes,1,0,741,True
94,yes,yes,yes,yes,no,1,0,1010,True
64,yes,yes,no,yes,yes,1,0,304,True
73,yes,yes,yes,yes,yes,1,0,2539,True
87,no,yes,yes,yes,yes,1,0,2228,True
67,yes,yes,yes,yes,yes,1,0,662,True
69,no,yes,yes,yes,yes,1,0,1272,True
81,yes,yes,yes,yes,yes,1,0,987,True
78,yes,yes,yes,yes,yes,1,0,1708,True
94,yes,yes,yes,yes,yes,1,0,2695,True
83,yes,yes,yes,yes,yes,1,0,1365,True
67,yes,yes,yes,yes,yes,1,0,1598,True
85,yes,yes,yes,yes,yes,1,0,1661,True
68,no,yes,yes,yes,yes,1,0,1262,True
84,yes,yes,yes,yes,yes,1,0,2536,True
73,yes,yes,yes,yes,no,1,0,120,True
90,yes,yes,yes,no,yes,1,0,1657,True
87,yes,yes,yes,yes,no,1,0,845,True
64,yes,yes,yes,no,yes,1,0,1762,True
98,yes,yes,yes,yes,yes,1,0,132,True
97,yes,yes,yes,yes,yes,1,0,2580,True
98,yes,yes,yes,yes,yes,1,0,1206,True
98,yes,yes,yes,yes,yes,1,0,1630,True
78,yes,yes,yes,yes,yes,1,0,975,True
83,yes,yes,yes,yes,yes,1,0,2340,True
89,yes,yes,no,yes,yes,1,0,1676,True
100,yes,yes,yes,no,yes,1,0,1347,True
93,yes,yes,yes,yes,yes,1,0,204,True
92,yes,yes,no,yes,yes,1,0,848,True
63,yes,yes,yes,no,yes,1,0,1810,True
75,yes,yes,yes,yes,yes,1,0,1749,True
87,yes,no,yes,yes,yes,1,0,2916,True
92,yes,yes,yes,no,yes,1,0,1381,True
83,yes,yes,yes,yes,yes,1,0,2907,True
97,yes,no,yes,yes,yes,1,0,712,True
87,yes,yes,yes,yes,yes,1,0,1889,True
82,yes,yes,yes,no,yes,1,0,1481,True
88,yes,no,yes,yes,yes,1,0,1554,True
77,yes,yes,yes,yes,yes,1,0,269,True
60,yes,yes,yes,yes,yes,1,0,2676,True
78,yes,yes,yes,no,yes,1,0,1018,True
100,yes,yes,yes,yes,yes,1,0,344,True
82,yes,yes,yes,no,yes,1,0,2440,True
68,yes,yes,yes,yes,yes,1,0,442,True
86,no,yes,yes,yes,yes,1,0,2503,True
100,yes,no,yes,yes,yes,1,0,2902,True
69,yes,yes,yes,yes,yes,1,0,1924,True
86,yes,yes,yes,yes,no,1,0,608,True
93,yes,yes,yes,yes,yes,1,0,379,True
73,yes,yes,yes,no,yes,1,0,461,True
66,yes,yes,yes,yes,no,1,0,1290,True
72,yes,yes,yes,yes,yes,1,0,1859,True
67,no,yes,yes,yes,yes,1,0,993,True
97,yes,yes,yes,yes,no,1,0,1191,True
80,yes,yes,yes,yes,no,1,0,1714,True
81,no,yes,yes,yes,yes,1,0,70,True
68,yes,yes,yes,yes,yes,1,0,294,True
81,yes,no,yes,yes,yes,1,0,1539,True
93,yes,yes,yes,yes,no,1,0,2605,True
73,yes,yes,yes,yes,no,1,0,2518,True
91,yes,yes,yes,yes,yes,1,0,1873,True
87,yes,no,yes,yes,yes,1,0,2546,True
73,yes,yes,yes,yes,yes,1,0,2345,True
97,yes,yes,yes,yes,yes,1,0,1470,True
84,yes,yes,yes,yes,yes,1,0,660,True
83,yes,yes,no,yes,yes,1,0,2488,True
93,yes,yes,yes,yes,yes,1,0,514,True
65,no,yes,yes,yes,yes,1,0,2980,True
94,yes,yes,yes,no,yes,1,0,2048,True
74,yes,yes,yes,yes,yes,1,0,2351,True
73,yes,yes,yes,yes,no,1,0,2814,True
97,yes,no,yes,yes,yes,1,0,2377,True
77,no,yes,yes,yes,yes,1,0,2469,True
62,yes,yes,yes,yes,yes,1,0,1199,True
87,no,yes,yes,yes,yes,1,0,2767,True
79,yes,yes,yes,yes,yes,1,0,2338,True
88,yes,yes,yes,no,yes,1,0,2385,True
80,yes,yes,yes,yes,yes,1,0,2860,True
72,no,yes,yes,yes,yes,1,0,1779,True
86,no,yes,yes,yes,yes,1,0,1589,True
95,yes,yes,yes,yes,yes,1,0,2631,True
73,no,yes,yes,yes,yes,1,0,1861,True
94,yes,no,yes,yes,yes,1,0,2395,True
70,yes,yes,no,yes,yes,1,0,1701,True
91,yes,yes,yes,yes,yes,1,0,930,True
97,yes,yes,yes,yes,yes,1,0,749,True
99,yes,yes,yes,no,yes,1,0,1833,True
66,yes,yes,yes,yes,yes,1,0,310,True
95,no,yes,yes,yes,yes,1,0,2228,True
77,yes,yes,yes,yes,no,1,0,1144,True
84,yes,yes,yes,yes,no,1,0,2897,True
68,yes,yes,yes,yes,yes,1,0,1573,True
77,yes,no,yes,yes,yes,1,0,284,True
69,yes,yes,yes,yes,yes,1,0,315,True
89,yes,yes,yes,yes,no,1,0,656,True
78,yes,yes,yes,no,yes,1,0,472,True
77,yes,yes,yes,yes,yes,1,0,2607,True
97,yes,no,yes,yes,yes,1,0,591,True
67,yes,yes,yes,yes,yes,1,0,2061,True
80,yes,yes,yes,yes,no,1,0,1688,True
63,yes,yes,yes,yes,yes,1,0,1674,True
83,yes,yes,yes,yes,yes,1,0,714,True
71,yes,yes,yes,yes,no,1,0,2864,True
80,no,yes,yes,yes,yes,1,0,2178,True
68,yes,yes,yes,yes,yes,1,0,840,True
80,yes,yes,yes,yes,yes,1,0,1062,True
93,yes,yes,yes,yes,yes,1,0,2775,True
71,yes,yes,yes,no,yes,1,0,390,True
98,yes,yes,yes,yes,no,1,0,313,True
69,yes,yes,yes,no,yes,1,0,1175,True
72,yes,no,yes,yes,yes,1,0,808,True
92,no,yes,yes,yes,yes,1,0,815,True
81,yes,yes,yes,yes,yes,1,0,2986,True
90,yes,no,yes,yes,yes,1,0,241,True
99,yes,yes,yes,yes,yes,1,0,1223,True
78,yes,yes,yes,no,yes,1,0,1223,True
62,yes,no,yes,yes,yes,1,0,1182,True
92,yes,yes,yes,yes,yes,1,0,2096,True
83,no,yes,yes,yes,yes,1,0,665,True
62,yes,yes,yes,yes,yes,1,0,2790,True
69,yes,no,yes,yes,yes,1,0,275,True
95,yes,yes,yes,yes,no,1,0,2681,True
69,yes,yes,yes,yes,yes,1,0,856,True
97,yes,yes,yes,yes,yes,1,0,170,True
80,yes,no,yes,yes,yes,1,0,1391,True
87,yes,no,yes,yes,yes,1,0,1466,True
81,yes,yes,yes,yes,yes,1,0,2750,True
94,yes,yes,yes,yes,yes,1,0,1388,True
67,yes,yes,yes,yes,yes,1,0,1647,True
100,yes,yes,yes,yes,no,1,0,117,True
88,yes,yes,yes,yes,yes,1,0,1408,True
91,yes,yes,yes,yes,yes,1,0,2035,True
65,yes,no,yes,yes,yes,1,0,1252,True
96,yes,yes,yes,yes,yes,1,0,257,True
72,yes,yes,yes,yes,yes,1,0,650,True
69,yes,yes,yes,yes,yes,1,0,697,True
92,yes,no,yes,yes,yes,1,0,2134,True
83,yes,yes,yes,no,yes,1,0,196,True
61,yes,yes,yes,yes,yes,1,0,443,True
70,yes,no,yes,yes,yes,1,0,1778,True
91,yes,yes,yes,yes,yes,1,0,1243,True
72,no,yes,yes,yes,yes,1,0,1209,True
89,yes,yes,yes,yes,yes,1,0,2220,True
100,no,yes,yes,yes,yes,1,0,1148,True
86,yes,yes,yes,yes,yes,1,0,2019,True
72,yes,yes,yes,yes,yes,1,0,1004,True
95,yes,yes,yes,yes,yes,1,0,2063,True
95,yes,yes,yes,yes,yes,1,0,89,True
69,yes,yes,yes,yes,yes,1,0,1380,True
66,yes,yes,yes,yes,yes,1,0,776,True
85,yes,yes,yes,yes,yes,1,0,2519,True
74,yes,yes,no,yes,yes,1,0,2364,True
68,yes,yes,yes,no,yes,1,0,2278,True
71,yes,yes,yes,no,yes,1,0,2471,True
70,yes,yes,yes,yes,yes,1,0,1801,True
70,yes,yes,yes,yes,yes,1,0,1470,True
84,yes,yes,yes,yes,yes,1,0,2683,True
78,yes,yes,no,yes,yes,1,0,2629,True
72,yes,no,yes,yes,yes,1,0,385,True
96,yes,yes,yes,yes,yes,1,0,322,True
96,yes,yes,yes,yes,yes,1,0,1074,True
89,yes,yes,yes,no,yes,1,0,873,True
98,yes,no,yes,yes,yes,1,0,593,True
75,yes,yes,yes,yes,yes,1,0,1818,True
74,yes,no,yes,yes,yes,1,0,2588,True
74,yes,yes,yes,yes,no,1,0,2535,True
94,no,yes,yes,yes,yes,1,0,2421,True
71,yes,yes,yes,yes,yes,1,0,318,True
82,yes,yes,yes,yes,yes,1,0,997,True
93,yes,yes,yes,yes,yes,1,0,2615,True
80,yes,yes,yes,yes,yes,1,0,1097,True
99,yes,yes,yes,yes,yes,1,0,130,True
74,yes,yes,yes,yes,yes,1,0,1397,True
67,no,yes,yes,yes,yes,1,0,2094,True
63,yes,no,yes,yes,yes,1,0,2616,True
85,yes,yes,yes,yes,yes,1,0,1830,True
81,yes,yes,yes,yes,yes,1,0,926,True
73,yes,yes,yes,yes,yes,1,0,768,True
76,no,yes,yes,yes,yes,1,0,1904,True
78,yes,yes,yes,yes,yes,1,0,2877,True
95,yes,yes,yes,yes,yes,1,0,54,True
81,yes,yes,yes,yes,yes,1,0,2151,True
74,yes,yes,yes,no,yes,1,0,1521,True
98,yes,yes,yes,no,yes,1,0,2776,True
93,yes,yes,yes,yes,no,1,0,676,True
97,yes,yes,yes,yes,yes,1,0,2365,True
66,yes,yes,yes,yes,yes,1,0,2891,True
99,yes,yes,yes,yes,yes,1,0,2930,True
80,yes,no,yes,yes,yes,1,0,2369,True
70,no,yes,yes,yes,yes,1,0,819,True
91,no,yes,yes,yes,yes,1,0,1601,True
96,yes,yes,yes,yes,yes,1,0,196,True
92,yes,yes,yes,no,yes,1,0,751,True
94,yes,yes,yes,yes,yes,1,0,2301,True
93,yes,yes,yes,yes,yes,1,0,68,True
62,yes,yes,yes,no,yes,1,0,168,True
70,yes,no,yes,yes,yes,1,0,2938,True
88,yes,yes,yes,yes,yes,1,0,87,True
65,yes,yes,yes,yes,yes,1,0,1408,True
70,yes,yes,yes,yes,yes,1,0,308,True
69,yes,yes,yes,yes,yes,1,0,809,True
69,yes,yes,yes,yes,yes,1,0,2665,True
99,yes,yes,no,yes,yes,1,0,136,True
100,yes,yes,yes,yes,yes,1,0,1443,True
89,yes,yes,no,yes,yes,1,0,2921,True
73,no,yes,yes,yes,yes,1,0,2074,True
82,yes,yes,yes,yes,yes,1,0,36,True
89,yes,yes,no,yes,yes,1,0,1870,True
67,yes,no,yes,yes,yes,1,0,1803,True
87,yes,yes,yes,yes,yes,1,0,1084,True
65,yes,yes,yes,no,yes,1,0,2087,True
84,yes,yes,yes,yes,yes,1,0,1998,True
71,yes,yes,yes,yes,no,1,0,1159,True
76,yes,yes,yes,yes,yes,1,0,2923,True
72,yes,yes,no,yes,yes,1,0,2922,True
66,yes,yes,no,yes,yes,1,0,2958,True
85,yes,yes,yes,yes,yes,1,0,1905,True
63,yes,yes,yes,yes,yes,1,0,92,True
88,yes,yes,no,yes,yes,1,0,396,True
74,yes,yes,yes,yes,no,1,0,2285,True
65,yes,yes,no,yes,yes,1,0,1199,True
80,yes,yes,yes,yes,yes,1,0,230,True
93,yes,no,yes,yes,yes,1,0,561,True
81,yes,yes,yes,yes,yes,1,0,654,True
86,yes,yes,no,yes,yes,1,0,1396,True
65,yes,yes,yes,no,yes,1,0,332,True
61,yes,yes,yes,yes,yes,1,0,2877,True
94,yes,no,yes,yes,yes,1,0,2305,True
69,yes,yes,yes,yes,yes,1,0,790,True
67,yes,yes,yes,yes,yes,1,0,771,True
79,yes,yes,yes,yes,yes,1,0,2034,True
82,yes,yes,yes,yes,no,1,0,233,True
63,yes,no,yes,yes,yes,1,0,2855,True
79,yes,yes,yes,yes,yes,1,0,708,True
73,yes,no,yes,yes,yes,1,0,1383,True
96,yes,yes,yes,yes,yes,1,0,1343,True
88,yes,yes,yes,yes,yes,1,0,1481,True
66,yes,no,yes,yes,yes,1,0,1094,True
94,yes,yes,yes,yes,yes,1,0,2847,True
99,no,yes,yes,yes,yes,1,0,241,True
97,yes,yes,yes,yes,yes,1,0,1136,True
61,yes,no,yes,yes,yes,1,0,267,True
85,yes,yes,yes,yes,yes,1,0,2832,True
75,yes,yes,yes,yes,yes,1,0,640,True
63,yes,yes,yes,yes,no,1,0,2882,True
84,yes,yes,yes,yes,no,1,0,1075,True
69,yes,no,yes,yes,yes,1,0,2582,True
75,no,yes,yes,yes,yes,1,0,336,True
97,yes,yes,yes,yes,yes,1,0,1008,True
91,yes,no,yes,yes,yes,1,0,97,True
88,yes,yes,yes,yes,yes,1,0,1352,True
76,yes,yes,no,yes,yes,1,0,523,True
89,yes,yes,yes,yes,yes,1,0,2236,True
93,yes,yes,yes,yes,yes,1,0,791,True
69,yes,yes,yes,yes,yes,1,0,1688,True
73,yes,yes,yes,yes,yes,1,0,1226,True
84,yes,yes,yes,yes,yes,1,0,1529,True
85,yes,yes,yes,yes,yes,1,0,1312,True
76,yes,yes,no,yes,yes,1,0,2566,True
79,yes,yes,yes,yes,yes,1,0,1559,True
70,no,yes,yes,yes,yes,1,0,1222,True
73,yes,yes,yes,yes,yes,1,0,2337,True
73,yes,yes,yes,yes,yes,1,0,463,True
60,yes,yes,yes,yes,yes,1,0,2008,True
82,yes,yes,yes,yes,yes,1,0,360,True
71,yes,yes,no,yes,yes,1,0,1022,True
94,yes,yes,yes,yes,yes,1,0,1848,True
66,yes,yes,yes,yes,yes,1,0,738,True
99,no,yes,yes,yes,yes,1,0,643,True
89,yes,yes,yes,yes,yes,1,0,213,True
65,yes,no,yes,yes,yes,1,0,429,True
79,yes,yes,yes,yes,no,1,0,2553,True
84,yes,yes,yes,no,yes,1,0,292,True
84,no,yes,yes,yes,yes,1,0,227,True
96,yes,yes,yes,yes,yes,1,0,2234,True
66,yes,yes,yes,yes,yes,1,0,2207,True
86,yes,yes,yes,yes,yes,1,0,2691,True
83,yes,no,yes,yes,yes,1,0,2924,True
99,yes,yes,yes,yes,yes,1,0,991,True
85,no,yes,yes,yes,yes,1,0,1832,True
86,yes,yes,yes,yes,yes,1,0,822,True
87,yes,yes,yes,yes,no,1,0,2732,True
94,yes,yes,no,yes,yes,1,0,985,True
71,yes,yes,yes,yes,no,1,0,2337,True
71,no,yes,yes,yes,yes,1,0,581,True
69,yes,yes,no,yes,yes,1,0,257,True
79,yes,yes,yes,yes,yes,1,0,2118,True
94,yes,yes,yes,yes,no,1,0,1292,True
75,yes,yes,yes,yes,no,1,0,2382,True
80,yes,yes,yes,no,yes,1,0,1353,True
96,yes,yes,yes,yes,no,1,0,2383,True
91,yes,yes,yes,yes,yes,1,0,2621,True
93,no,yes,yes,yes,yes,1,0,62,True
90,yes,yes,yes,yes,yes,1,0,892,True
96,yes,yes,yes,no,yes,1,0,480,True
60,yes,no,yes,yes,yes,1,0,753,True
75,yes,yes,no,yes,yes,1,0,1024,True
95,yes,yes,yes,yes,yes,1,0,2607,True
92,yes,yes,yes,no,yes,1,0,1966,True
68,yes,yes,yes,yes,yes,1,0,1447,True
93,yes,yes,no,yes,yes,1,0,2571,True
71,yes,yes,yes,yes,yes,1,0,25,True
64,yes,yes,yes,yes,yes,1,0,37,True
74,yes,yes,yes,yes,yes,1,0,2083,True
66,yes,yes,yes,yes,yes,1,0,2917,True
66,yes,yes,yes,yes,no,1,0,1476,True
83,yes,yes,yes,yes,yes,1,0,785,True
71,yes,yes,no,yes,yes,1,0,428,True
96,yes,yes,no,yes,yes,1,0,1557,True
63,yes,yes,yes,yes,no,1,0,1599,True
97,yes,no,yes,yes,yes,1,0,773,True
89,yes,yes,yes,yes,no,1,0,761,True
68,yes,yes,yes,no,yes,1,0,2878,True
83,yes,yes,no,yes,yes,1,0,2376,True
68,no,yes,yes,yes,yes,1,0,738,True
81,yes,yes,yes,yes,no,1,0,1080,True
73,no,yes,yes,yes,yes,1,0,113,True
75,no,yes,yes,yes,yes,1,0,2136,True
69,yes,yes,yes,yes,yes,1,0,14,True
82,yes,yes,no,yes,yes,1,0,2890,True
67,yes,yes,yes,yes,no,1,0,243,True
60,no,yes,yes,yes,yes,1,0,1286,True
67,yes,yes,yes,yes,no,1,0,859,True
88,yes,yes,yes,yes,yes,1,0,1289,True
71,yes,yes,yes,no,yes,1,0,2193,True
82,yes,yes,yes,yes,yes,1,0,292,True
79,yes,yes,yes,yes,no,1,0,338,True
71,yes,yes,yes,yes,yes,1,0,1556,True
77,yes,yes,yes,yes,yes,1,0,667,True
69,yes,yes,yes,no,yes,1,0,416,True
73,yes,yes,yes,no,yes,1,0,1318,True
72,yes,yes,yes,yes,no,1,0,739,True
91,yes,yes,yes,yes,yes,1,0,955,True
62,yes,yes,yes,yes,yes,1,0,2666,True
76,no,yes,yes,yes,yes,1,0,25,True
74,yes,yes,yes,yes,yes,1,0,2005,True
99,yes,yes,yes,yes,yes,1,0,134,True
82,yes,yes,no,yes,yes,1,0,1456,True
65,yes,yes,yes,yes,no,1,0,1939,True
86,yes,no,yes,yes,yes,1,0,766,True
88,yes,no,yes,yes,yes,1,0,2690,True
70,yes,yes,yes,yes,yes,1,0,1634,True
81,yes,yes,no,yes,yes,1,0,1593,True
97,yes,yes,yes,no,yes,1,0,1403,True
90,yes,yes,yes,no,yes,1,0,2216,True
63,yes,yes,yes,yes,yes,1,0,127,True
69,yes,yes,yes,yes,yes,1,0,232,True
85,yes,yes,yes,no,yes,1,0,2073,True
73,yes,yes,no,yes,yes,1,0,2271,True
79,yes,yes,yes,yes,yes,1,0,2528,True
80,no,yes,yes,yes,yes,1,0,2349,True
85,yes,yes,no,yes,yes,1,0,1648,True
74,yes,yes,yes,yes,no,1,0,926,True
86,yes,yes,yes,yes,yes,1,0,1664,True
98,yes,yes,yes,no,yes,1,0,1287,True
78,yes,yes,yes,yes,yes,1,0,15,True
77,yes,yes,no,yes,yes,1,0,510,True
88,no,yes,yes,yes,yes,1,0,2414,True
64,yes,yes,yes,yes,yes,1,0,63,True
66,yes,yes,yes,yes,yes,1,0,93,True
85,yes,yes,yes,yes,yes,1,0,1073,True
68,yes,yes,yes,yes,yes,1,0,2916,True
81,yes,yes,yes,yes,yes,1,0,2468,True
77,yes,yes,no,yes,yes,1,0,1695,True
84,yes,no,yes,yes,yes,1,0,2066,True
67,yes,yes,yes,yes,no,1,0,2961,True
88,yes,yes,yes,yes,yes,1,0,355,True
75,yes,yes,yes,yes,no,1,0,293,True
69,yes,yes,yes,yes,yes,1,0,311,True
84,yes,yes,yes,yes,yes,1,0,2898,True
77,yes,yes,yes,yes,yes,1,0,2001,True
71,yes,yes,yes,yes,yes,1,0,1455,True
89,yes,yes,yes,no,yes,1,0,1231,True
70,yes,yes,no,yes,yes,1,0,2537,True
93,yes,yes,yes,yes,yes,1,0,95,True
87,yes,yes,yes,yes,yes,1,0,924,True
81,yes,no,yes,yes,yes,1,0,2752,True
77,yes,yes,yes,yes,no,1,0,1794,True
96,yes,yes,yes,no,yes,1,0,1175,True
62,yes,yes,yes,yes,no,1,0,2373,True
69,yes,yes,yes,yes,yes,1,0,1496,True
95,yes,yes,yes,yes,yes,1,0,694,True
69,yes,yes,yes,yes,no,1,0,403,True
86,yes,no,yes,yes,yes,1,0,90,True
97,no,yes,yes,yes,yes,1,0,1222,True
85,yes,yes,yes,yes,yes,1,0,1006,True
81,yes,yes,yes,yes,yes,1,0,2531,True
74,yes,yes,yes,yes,yes,1,0,812,True
71,yes,yes,no,yes,yes,1,0,1581,True
65,yes,yes,yes,no,yes,1,0,2713,True
67,yes,no,yes,yes,yes,1,0,2338,True
82,yes,yes,yes,yes,yes,1,0,1848,True
89,yes,yes,yes,yes,yes,1,0,2492,True
75,yes,yes,yes,yes,yes,1,0,2546,True
70,yes,yes,yes,yes,yes,1,0,2595,True
71,yes,yes,no,yes,yes,1,0,394,True
84,yes,yes,no,yes,yes,1,0,2914,True
86,yes,yes,yes,yes,yes,1,0,1340,True
84,yes,yes,no,yes,yes,1,0,981,True
81,yes,yes,yes,no,yes,1,0,2745,True
87,yes,yes,yes,yes,yes,1,0,772,True
71,yes,yes,no,yes,yes,1,0,1300,True
71,yes,yes,yes,no,yes,1,0,2289,True
88,yes,yes,yes,yes,no,1,0,629,True
86,yes,no,yes,yes,yes,1,0,525,True
94,yes,yes,yes,yes,no,1,0,2624,True
85,yes,yes,yes,yes,no,1,0,1677,True
76,yes,yes,yes,yes,yes,1,0,1398,True
90,no,yes,yes,yes,yes,1,0,1587,True
76,yes,yes,yes,yes,yes,1,0,2066,True
89,yes,yes,yes,yes,yes,1,0,1818,True
79,yes,yes,no,yes,yes,1,0,1586,True
74,yes,yes,yes,no,yes,1,0,1141,True
84,yes,yes,yes,no,yes,1,0,2350,True
87,yes,yes,yes,yes,yes,1,0,1091,True
